,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,56.56,60.31,61.15,54.78,59.93,60.08
2k,71.77,73.26,73.84,54.78,63.39,62.75
4k,75.71,75.85,75.72,54.78,64.19,64.94
8k,78.04,77.71,76.81,54.78,66.32,68.07
full,79.45,78.19,77.70,54.78,68.18,69.11
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,73.14,75.29,76.09,74.69,75.40,75.63
2k,82.33,82.69,82.85,74.69,75.92,76.79
4k,83.45,83.43,83.75,74.69,76.54,77.27
8k,84.47,83.50,83.55,74.69,76.61,77.23
full,84.63,83.44,83.76,74.69,76.96,77.74
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,79.67,81.13,81.37,79.93,80.09,80.76
2k,86.97,86.80,86.97,79.93,80.34,81.93
4k,88.21,87.20,87.97,79.93,81.85,82.18
8k,88.06,87.15,86.83,79.93,82.07,82.24
full,87.82,86.92,87.15,79.93,82.29,82.26
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,67.86,72.02,71.85,66.04,68.97,69.33
2k,73.10,74.97,75.06,66.04,70.63,71.81
4k,79.22,80.01,79.99,66.04,73.16,73.39
8k,84.91,84.69,84.35,66.04,74.92,75.78
full,87.48,86.36,85.52,66.04,75.99,76.52
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,83.27,84.62,85.05,78.17,79.46,79.71
2k,85.44,86.43,86.58,78.17,80.51,80.74
4k,88.04,88.48,86.54,78.17,81.17,81.43
8k,90.29,89.73,89.76,78.17,81.05,82.01
full,91.31,90.52,90.59,78.17,81.70,82.25
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,88.72,89.21,89.33,82.20,82.54,82.54
2k,90.78,90.12,91.04,82.20,83.13,83.55
4k,92.24,92.14,92.28,82.20,83.98,83.82
8k,93.50,93.18,93.27,82.20,83.94,84.62
full,93.85,93.34,93.45,82.20,83.61,84.31
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,67.86,71.68,71.78,64.09,67.82,68.83
2k,73.10,75.23,75.39,64.09,69.07,69.92
4k,79.22,80.04,80.25,64.09,70.29,71.21
8k,84.91,85.33,84.48,64.09,72.29,72.06
full,87.48,86.65,86.36,64.09,72.45,72.70
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,83.27,84.82,85.06,77.23,77.43,78.25
2k,85.44,86.33,86.64,77.23,78.59,78.93
4k,88.04,88.33,88.21,77.23,78.80,79.77
8k,90.29,89.77,89.80,77.23,79.18,79.56
full,91.31,90.81,90.61,77.23,79.57,79.49
,stl_large,noshare,share,stl_tw,tw_noshare,tw_share
1k,88.72,89.31,89.74,80.67,80.69,81.19
2k,90.78,90.69,90.76,80.67,81.39,81.60
4k,92.24,91.87,91.99,80.67,81.44,81.69
8k,93.50,93.04,92.93,80.67,81.83,81.80
full,93.85,93.35,93.37,80.67,81.55,82.20
