,GSD-regular,TweeDe-regular
0.00,0.00,55.18
0.05,70.01333333333334,65.58999999999999
0.10,71.80333333333333,66.64666666666666
0.15,73.28666666666666,66.86
0.20,74.52666666666666,67.89666666666666
0.25,75.20666666666666,68.33999999999999
0.30,76.11666666666667,69.34
0.35,76.61666666666666,69.22333333333333
0.40,77.21333333333332,69.42999999999999
0.45,76.95666666666666,68.95333333333333
0.50,77.36,69.49
0.55,77.75,70.11999999999999
0.60,78.41666666666667,70.16
0.65,78.31666666666666,70.12
0.70,78.79,70.97000000000001
0.75,79.07666666666665,71.21666666666667
0.80,78.88666666666666,70.60000000000001
0.85,79.14333333333333,71.42666666666666
0.90,79.27999999999999,70.58333333333333
0.95,79.75666666666667,69.92999999999999
1.00,79.48,0.00
